customer_id,tenure_months,monthly_charges,total_usage_gb,support_tickets,contract_type,payment_delay_days,churn,revenue,churn_risk_score,risk_segment
1,52,1184,708,3,Yearly,43,1,61568,0.9338512170121713,High Risk
2,15,4129,527,1,Yearly,54,1,61935,0.9819435836021091,High Risk
3,61,3387,874,9,Monthly,26,1,206607,0.9908269393866443,High Risk
4,21,1962,359,0,Yearly,8,0,41202,0.01425947081938952,Low Risk
5,24,4586,119,5,Yearly,45,1,110064,0.9960313715634473,High Risk
6,3,2761,492,6,Monthly,37,1,8283,0.9951847709670001,High Risk
7,22,4680,416,4,Quarterly,46,1,102960,0.9930990772082231,High Risk
8,53,3341,659,7,Monthly,12,1,177073,0.7637171702231845,High Risk
9,2,2267,60,8,Yearly,6,1,4534,0.8871098055972265,High Risk
10,30,4680,412,1,Monthly,10,0,140400,0.0451120794690369,Low Risk
11,38,4060,572,3,Quarterly,9,0,154280,0.126962511235593,Low Risk
12,2,2612,485,8,Yearly,32,1,5224,0.9977647769883076,High Risk
13,64,1126,96,4,Quarterly,38,1,72064,0.9139768996852031,High Risk
14,60,4659,77,2,Quarterly,49,1,279540,0.9536240374024123,High Risk
15,21,3914,605,5,Monthly,54,1,82194,0.9989938543446305,High Risk
16,33,1875,988,2,Quarterly,2,0,61875,0.01963493611837002,Low Risk
17,58,1681,51,4,Monthly,40,1,97498,0.946486116509196,High Risk
18,22,990,740,2,Monthly,28,0,21780,0.5593322677741083,Medium Risk
19,49,4229,66,5,Quarterly,36,1,207221,0.9714269762650372,High Risk
20,59,4034,747,9,Monthly,54,1,238006,0.9998895075129144,High Risk
21,42,3796,205,4,Monthly,55,1,159432,0.9969590367686059,High Risk
22,60,2440,769,8,Quarterly,44,1,146400,0.9986380348787864,High Risk
23,15,4908,687,2,Yearly,15,0,73620,0.24118985365476078,Low Risk
24,62,2382,71,5,Monthly,15,0,147684,0.44608091668464567,Medium Risk
25,62,3487,272,7,Monthly,43,1,216194,0.9968352555310259,High Risk
26,47,3659,121,6,Quarterly,49,1,171973,0.9981161890060407,High Risk
27,62,1181,774,5,Monthly,42,1,73222,0.9780655782291118,High Risk
28,51,1573,720,1,Quarterly,48,1,80223,0.875564739255041,High Risk
29,55,2887,187,6,Yearly,6,1,158785,0.35089051687777756,Medium Risk
30,64,2894,957,7,Yearly,14,1,185216,0.7643658480490598,High Risk
31,3,3193,35,0,Quarterly,37,1,9579,0.6858167228680242,High Risk
32,51,1870,419,8,Yearly,5,1,95370,0.6766176527040064,High Risk
33,7,4840,767,3,Quarterly,17,0,33880,0.5259229347385654,Medium Risk
34,21,2656,540,7,Monthly,18,1,55776,0.9399296975338917,High Risk
35,39,3080,786,9,Yearly,51,1,120120,0.9998762063718324,High Risk
36,18,4891,326,6,Monthly,50,1,88038,0.999279061761481,High Risk
37,4,2659,541,9,Monthly,1,1,10636,0.8868354291760245,High Risk
38,60,3748,115,6,Quarterly,2,1,224880,0.22353941842825042,Low Risk
39,14,4231,758,1,Yearly,45,1,59234,0.9337840727310615,High Risk
40,9,4329,827,0,Yearly,53,1,38961,0.9621738808170504,High Risk
41,53,2127,473,3,Monthly,24,0,112731,0.45292660534234136,Medium Risk
42,2,3972,255,1,Monthly,35,1,7944,0.7946323907420589,High Risk
43,60,527,90,7,Quarterly,53,1,31620,0.9990826967958343,High Risk
44,71,2485,671,9,Yearly,48,1,176435,0.999561886325708,High Risk
45,44,4653,918,6,Quarterly,27,1,204732,0.9557415730507687,High Risk
46,8,2021,405,7,Quarterly,37,1,16168,0.9972609743722679,High Risk
47,47,796,531,5,Quarterly,27,0,37412,0.8568387493249356,High Risk
48,35,2681,842,0,Yearly,31,1,93835,0.2818301813245346,Low Risk
49,36,3902,745,8,Quarterly,50,1,140472,0.9997362748200463,High Risk
50,50,2796,935,5,Yearly,40,1,139800,0.9811533913797393,High Risk
51,4,3097,273,9,Quarterly,35,1,12388,0.9993512889264795,High Risk
52,2,1401,670,0,Monthly,38,1,2802,0.6790535582997298,High Risk
53,6,1598,799,0,Quarterly,35,1,9588,0.554555151522223,Medium Risk
54,54,2177,283,7,Quarterly,42,1,117558,0.9964244854136276,High Risk
55,4,3381,715,5,Yearly,53,1,13524,0.999154452193294,High Risk
56,54,1878,953,7,Monthly,22,1,101412,0.92544658165766,High Risk
57,63,1748,181,7,Monthly,1,1,110124,0.28229708501615675,Low Risk
58,18,4235,274,7,Yearly,9,1,76230,0.8344972188917109,High Risk
59,44,4741,972,9,Yearly,5,1,208604,0.8806617979670652,High Risk
